,A1112Amp,A1112Dist,A14Amp,A14Dist,A15Amp,A15Dist,A16Amp,A16Dist,2004Class
1496,1.0,328.13272611267104,3.0,328.4312868068123,,,,,216
1498,1.0,2045.389903389427,3.0,1871.5801342738303,,,,, 38
1499,0.5,1511.2982351831854,2.2,1691.2321681991211,,,,,218
1501,0.5,1463.6415162214696,2.5,1600.7876527494843,,,,,204
1507,1.0,728.6846062323378,5.0,856.7286069479853,,,,, 13
1508,0.9,1838.5458791312662,3.0,1692.4027018140391,,,,, 18
1510,1.0,2402.414942824976,5.5,2250.0363035603627,,,,,  7
1511,1.0,1685.9195414826968,3.5,1505.8235142486103,,,,,100
1512,0.9,1407.3768227512676,3.0,1235.9549892549824,,,,,230
1514,1.1,2045.389903389427,3.0,1871.5801342738303,,,,, 38
1515,3.0,549.8567450287387,11.0,677.3216861147707,,,,,  1
1516,1.0,842.088174386005,2.5,924.3137333541894,,,,, 20
1517,0.8,814.1764179317533,2.0,994.2666079393877,,,,,  3
1521,1.0,934.3114544532666,2.8,1082.755867275467,,,,, 21
1524,0.6,1075.0800904555713,2.2,1015.2404870457415,,,,, 36
1525,0.5,2549.7195740642705,2.0,2435.240597670518,,,,,  6
1526,1.0,1838.5458791312662,4.0,1692.4027018140391,,,,, 18
1528,0.9,1575.6827131852826,4.0,1427.7340001379462,,,,,246
1530,0.9,549.8567450287387,2.8,677.3216861147707,,,,,  1
1533,0.5,2520.9520230241747,2.0,2386.1065756527755,,,,,244
1536,0.5,1551.407079422076,2.2,1424.9357367665345,,,,,238
1537,1.0,549.8567450287387,2.5,677.3216861147707,,,,,  1
1538,0.3,1325.4627424902437,2.0,1277.0207042578038,,,,,223
1542,0.2,549.8567450287387,1.8,677.3216861147707,,,,,  1
1545,0.3,1668.704437353357,1.2,1566.0954484581505,,,,,257
1548,0.3,2426.365368873623,1.5,2283.365268110137,,,,, 64
1550,0.25,1925.0150374381292,2.5,1786.9727214741347,,,,, 19
1572,1.0,2699.782959294842,3.5,2608.956222497297,,,,, 29
1573,1.0,144.48503270329255,2.8,97.95484770451591,,,,,  9
1575,0.5,1097.267878756044,2.2,1162.2868938358101,,,,, 10
1576,0.5,602.3600742192931,3.0,739.0719914272335,,,,, 30
1581,0.5,2549.7195740642705,1.5,2435.240597670518,,,,,  6
1582,0.8,1258.687624261008,3.0,1179.9082713957582,,,,,201
1585,1.2,144.48503270329255,4.5,97.95484770451591,,,,,  9
1587,1.0,719.4627676070183,2.0,804.5218798966646,,,,,  8
1588,0.5,719.4627676070183,2.8,804.5218798966646,,,,,  8
1589,1.0,574.0461203248836,2.2,443.58363033572687,,,,, 34
1593,0.2,2549.7195740642705,1.5,2435.240597670518,,,,,  6
1594,1.0,954.3050495410989,5.0,794.8518173976855,,,,, 16
1595,0.5,653.30675738881,2.5,570.2061076093618,,,,, 39
1606,0.5,1450.8757101672234,2.0,1285.1029044685938,,,,, 99
1607,0.5,1511.2982351831854,2.5,1691.2321681991211,,,,,218
1608,0.8,719.4627676070183,2.2,804.5218798966646,,,,,  8
1609,1.5,1097.267878756044,5.0,1162.2868938358101,,,,, 10
1616,,,3.0,1640.717526253977,2.0,556.3160751775913,,,234
