,A1112Amp,A1112Dist,A14Amp,A14Dist,A15Amp,A15Dist,A16Amp,A16Dist,2004Class
1840,1.0,1514.6089383157887,4.0,1446.5434140342634,2.2,1073.4525491012207,,, 18
1847,,,2.0,1436.935419659339,0.5,1068.2587331917125,,,234
1848,1.0,1124.2350688820288,3.0,1187.9080342434613,1.0,1430.5457195995468,,, 49
1855,,,2.0,1234.008885866761,1.2,1142.3802193888548,,, 26
1859,1.0,1021.9215061534438,3.5,1034.0314607341952,2.5,952.487770379492,,, 17
1860,0.3,949.7916991414554,1.8,989.3076197735427,,,,,  1
1861,0.5,1604.8130659095275,2.2,1534.238201882201,1.0,1300.1131317668458,,, 38
1865,0.5,802.5353428615504,3.0,802.5833444960475,,,,,216
1868,1.0,1514.6089383157887,3.5,1446.5434140342634,3.0,1073.4525491012207,,, 18
1869,1.0,1478.8722177988748,3.0,1436.935419659339,2.5,1068.2587331917125,,,234
1873,0.5,1669.7516310681183,2.5,1586.4065298954129,1.2,1128.9791034293028,,, 22
1879,0.3,1248.2344785321368,2.5,1229.7110577780227,2.0,1067.4246092705469,,, 36
1880,0.5,1783.9237878951758,4.0,1712.3894758905408,2.0,1279.5066528862674,,,  7
1890,0.8,1268.325516080846,,,1.8,1142.3802193888548,,, 26
1894,1.5,949.7916991414554,7.0,989.3076197735427,2.0,1463.2142221322088,,,  1
1899,0.5,873.400314609295,3.0,814.7847539357139,1.0,958.2244116943106,,, 15
1944,1.0,1016.7786668636286,2.5,1056.790105328364,,,,, 30
1946,1.5,1041.0517511100472,6.0,1038.8660552182653,,,,,  9
1949,1.0,1041.0517511100472,4.0,1038.8660552182653,,,,,  9
1951,1.0,1042.5697576604264,,,1.5,1065.509458309826,,, 34
1952,1.0,1868.980093986746,4.6,1809.7652698140805,2.0,1344.8221404248072,,, 25
1953,,,1.5,1586.2398196116296,2.0,1189.8419990805705,,, 32
1959,0.3,1202.5217589968404,1.5,1152.1176029935252,,,,,243
1960,0.1,1170.9718024414428,1.0,1190.8566855711979,,,,,  8
1962,1.0,1170.9718024414428,3.0,1190.8566855711979,0.5,1549.27341927681,,,  8
1968,1.4,1185.5178516715323,5.0,1138.0191105346855,2.0,1082.419757480578,,, 16
1980,0.6,1409.7045523994987,4.0,1362.6065376695578,3.0,1122.6269491669798,,, 27
1984,,,3.0,1287.4203518749948,1.0,1099.1093544068638,,, 99
1994,2.0,1170.9718024414428,6.5,1190.8566855711979,1.0,1549.27341927681,,,  8
1999,0.3,2454.542334369667,1.8,2411.0273868911204,1.5,2156.5309135277057,,, 33
2008,0.2,1383.1350924655385,2.0,1340.574717701384,1.0,1241.4974617770922,,, 11
2011,0.5,1216.365285980001,3.0,1240.319766827933,,,,, 10
2025,,,2.0,1214.2137658622157,0.5,1026.5717586462426,,,230
2026,,,2.0,1272.8122355263902,1.0,1112.087797573734,,,283
2030,1.0,1352.922514838855,3.0,1441.0010594994503,1.0,1790.6600615825173,,,218
2031,0.5,1352.922514838855,3.0,1441.0010594994503,0.5,1790.6600615825173,,,218
2032,0.5,1297.1589884418477,2.0,1214.2137658622157,1.0,1026.5717586462426,,,230
2037,1.0,1514.6089383157887,3.0,1446.5434140342634,1.8,1073.4525491012207,,, 18
2040,,,2.2,1034.0314607341952,2.0,952.487770379492,,, 17
2045,1.0,1442.5763323094827,2.5,1359.1589338807314,,,,,100
2048,1.0,1124.2350688820288,3.0,1187.9080342434613,1.0,1430.5457195995468,,, 49
2051,0.9,1604.8130659095275,2.2,1534.238201882201,,,,, 38
2052,1.0,1604.8130659095275,2.0,1534.238201882201,1.0,1300.1131317668458,,, 38
2058,0.5,1268.325516080846,3.0,1234.008885866761,1.0,1142.3802193888548,,, 26
2063,0.5,1478.8722177988748,3.0,1436.935419659339,1.0,1068.2587331917125,,,234
2064,0.5,1100.5369679217902,1.8,1128.9822561429787,0.8,1142.5976465233439,,, 20
2066,1.0,949.7916991414554,3.0,989.3076197735427,0.8,1463.2142221322088,,,  1
