,Year,DOY,StartTime,StopTime,A1112Amp,A14Amp,A15Amp,A16Amp,Availability,Quality,Comments,EventType,DeepClass,2004Class
193,70,66,1226,1310.0,1.0,,,,2,,T?,,,
194,70,66,2255,2330.0,2.0,,,,2,6,,A,01,A  1
195,70,70,1957,2030.0,1.0,,,,2,6,,,,
196,70,73,1200,1310.0,4.0,,,,2,,,C,,
197,70,74,903,950.0,1.5,,,,2,,,M,,A205
198,70,74,1839,1910.0,1.0,,,,2,,,M,,A205
199,70,75,1636,1715.0,1.0,,,,2,,,M,,A 39
200,70,76,109,140.0,1.0,,,,2,,,,,
201,70,77,804,845.0,2.0,,,,2,,,A,02,A  2
202,70,77,859,940.0,1.5,,,,2,,,A,09,A  9
203,70,78,1101,1150.0,2.5,,,,2,,,C,,
204,70,78,2101,2130.0,1.0,,,,2,,,,,A  1
205,70,79,557,650.0,2.0,,,,2,,,A,08,A  8
206,70,79,1550,,-1.0,,,,,,,,,A 10
207,70,80,529,600.0,2.0,,,,2,,,A,12,A 12
208,70,80,1148,1250.0,4.5,,,,2,,,C,,
209,70,81,511,545.0,1.0,,,,2,,,,,
210,70,81,1930,1950.0,1.0,,,,2,,,,,
211,70,82,457,535.0,1.0,,,,2,,,,,
212,70,83,1504,1610.0,2.0,,,,2,,,,,
213,70,84,0,30.0,0.5,,,,,,,,,A  7
214,70,84,332,455.0,5.0,,,,2,,,C,,
215,70,85,1019,1050.0,1.0,,,,2,,,,,
216,70,85,2017,2140.0,10.5,,,,2,,,C,,
217,70,88,246,350.0,2.0,,,,2,,,C,,
218,70,88,1755,1830.0,0.5,,,,2,,,,,A219
219,70,88,2128,2210.0,1.5,,,,2,,,A,04,A  4
220,70,88,2240,2320.0,1.0,,,,2,,,,,A  6
221,70,89,1035,1125.0,1.5,,,,2,,,A,07,A  7
222,70,89,1157,1225.0,1.0,,,,2,,,,,A 44
223,70,89,1251,1355.0,4.0,,,,2,,,A,06,A  6
224,70,89,1740,1855.0,9.0,,,,2,,,A,01,A  1
225,70,89,2148,2225.0,1.0,,,,2,,,,,A  6
226,70,89,2327,15.0,1.0,,,,2,,,,,A304
227,70,90,1118,1200.0,1.5,,,,2,,,,,
228,70,90,1639,1710.0,1.0,,,,2,,,,,A 14
229,70,91,28,105.0,1.0,,,,2,,,,,
230,70,91,130,215.0,1.5,,,,2,,,,,
231,70,91,300,340.0,1.0,,,,2,,,,,
232,70,91,611,650.0,1.5,,,,2,,,A,05,A  5
233,70,91,809,850.0,1.0,,,,2,,,,,A224
234,70,91,952,1035.0,2.0,,,,2,,,A,01,A  1
235,70,91,1203,1235.0,1.0,,,,2,,,,,
236,70,92,1703,1735.0,1.0,,,,2,,,A,64,A 64
237,70,93,1049,1205.0,6.0,,,,2,,,A,01,A  1
238,70,94,2053,2120.0,1.0,,,,2,,,,,
239,70,95,1137,1240.0,4.0,,,,2,,,C,,
240,70,95,2347,,-1.0,,,,,,,,,A  1
241,70,96,1110,1140.0,1.0,,,,2,,,,,
242,70,98,22,150.0,12.0,,,,2,,,C,,
243,70,98,809,1010.0,15.0,,,,2,,,C,,
244,70,100,1105,1140.0,1.0,,,,,,,,,
245,70,101,2358,40.0,2.0,,,,2,,,,,A100
246,70,102,240,335.0,1.0,,,,2,6,,,,
247,70,102,635,710.0,1.0,,,,2,,,,,A205
248,70,102,720,750.0,1.0,,,,2,,,,,A 23
249,70,103,1442,1510.0,1.0,,,,2,,,,,
250,70,103,1605,1645.0,1.5,,,,2,,,A,23,A 10
251,70,103,2110,2145.0,1.0,,,,2,,,,,A301
252,70,104,135,210.0,1.0,,,,2,,,,,A 10
253,70,104,1042,1150.0,1.5,,,,2,,,A,09,
254,70,105,109,500.0,790.0,,,,2,5,13 S4B IMP,S,,
255,70,105,1215,1310.0,1.0,,,,2,,,,,
256,70,106,439,510.0,1.0,,,,2,,,,,A  1
257,70,106,1135,1210.0,2.5,,,,2,6,,,,A 53
258,70,107,153,225.0,1.0,,,,2,,,,,A 10
259,70,107,625,710.0,1.0,,,,2,,,,,
260,70,107,818,900.0,1.0,,,,2,,,,,A 13
261,70,107,1441,1520.0,1.5,,,,2,,,,,A 12
262,70,107,1828,1900.0,1.0,,,,2,,,,,A222
263,70,108,35,110.0,1.0,,,,2,,,,,
264,70,109,621,632.0,1.0,,,,2,,,,,
265,70,110,2015,2032.0,1.0,,,,2,,,,,
266,70,112,139,208.0,2.0,,,,2,,,C,,
267,70,112,1322,1400.0,3.0,,,,2,,,,,A224
268,70,112,1653,1745.0,5.0,,,,2,,,C,,
269,70,113,520,600.0,2.5,,,,2,,,C,,
